id,type,multi_hop,mode,ragas_faithfulness,reaq_hop_accuracy_corrected
container_lifecycle_concept,conceptual,True,vector,0.363636,
daemonset_purpose,conceptual,False,vector,0.111111,
deployment_basic,conceptual,True,vector,,
empty_dir_volume_concept,conceptual,True,vector,0.866667,
env_var_concept,conceptual,True,vector,0.285714,
hpa_target,conceptual,True,vector,0.0,
ingress_purpose,conceptual,True,vector,,
job_cronjob,conceptual,False,vector,,
limit_range_concept,conceptual,True,vector,0.384615,
namespace_quota,conceptual,True,vector,0.555556,
node_affinity_concept,conceptual,True,vector,0.125,
persistent_volume_concept,conceptual,True,vector,,
pod_disruption_budget_concept,conceptual,True,vector,0.166667,
pod_spec,conceptual,False,vector,,
probe_concept,conceptual,True,vector,0.0,
required_fields_container,conceptual,False,vector,0.083333,
resource_requirements_concept,conceptual,True,vector,0.0,
scope_accuracy_node,conceptual,False,vector,0.181818,
secret_types,conceptual,False,vector,,
service_types,conceptual,True,vector,,
statefulset_storage,conceptual,False,vector,,
storageclass_concept,conceptual,False,vector,0.071429,
toleration_concept,conceptual,False,vector,,
volume_mount_concept,conceptual,False,vector,0.0,
add_env_from_configmap,followup,True,vector,0.142857,
add_env_from_secret,followup,True,vector,0.214286,
add_hpa_to_deployment,followup,True,vector,0.25,
add_liveness_probe,followup,True,vector,0.0,
add_pvc_to_statefulset,followup,True,vector,,
add_readiness_probe,followup,True,vector,0.0,
add_resource_limits,followup,True,vector,0.0,
add_resource_limits_deployment,followup,True,vector,0.0,
change_service_type,followup,False,vector,0.0,
expose_with_ingress,followup,True,vector,0.0,
scale_existing_deployment,followup,False,vector,0.090909,
update_image_version,followup,True,vector,0.0,
plan_autoscale_ha,planning,True,vector,,
plan_cronjob_batch,planning,True,vector,0.1,
plan_namespace_isolation,planning,True,vector,0.714286,
plan_redis_persistent,planning,True,vector,0.5625,
plan_webapp_with_db,planning,True,vector,0.0,
configmap_volume_mount,realworld,False,vector,0.0,
deployment_vs_statefulset_comparison,realworld,True,vector,,
hpa_custom_metrics_yaml,realworld,True,vector,,
pheres_a_simplified_version_of_a,realworld,True,vector,0.0,
pi_am_wondering_if_it_is,realworld,False,vector,,
pi_have_a_command_to_run,realworld,True,vector,0.142857,
pi_want_to_pass_a_certificate,realworld,False,vector,0.307692,
precodespec_containers_image_nginx_imagepul,realworld,True,vector,0.2,
serviceaccount_pod_binding,realworld,True,vector,,
anyof_intorstring,relationship,True,vector,0.583333,
cronjob_job_pod,relationship,True,vector,0.333333,
deep_deployment_container_resources,relationship,True,vector,0.0,
deep_statefulset_container_probe,relationship,True,vector,0.0625,
deployment_pod_relation,relationship,True,vector,0.142857,
extends_hpa_metric,relationship,True,vector,0.363636,
hpa_deployment_pod,relationship,True,vector,,
ingress_service_pod,relationship,True,vector,,
namespace_quota_relation,relationship,True,vector,0.285714,
networkpolicy_pod_selector,relationship,True,vector,0.25,
oneof_volume_source,relationship,True,vector,0.333333,
pod_namespace_relation,relationship,False,vector,0.0,
pvc_storageclass,relationship,True,vector,0.0,
rbac_binding,relationship,True,vector,0.933333,
secret_usage,relationship,True,vector,0.3,
service_selector,relationship,True,vector,0.3,
serviceaccount_token_binding,relationship,True,vector,0.8125,
statefulset_pvc_pv,relationship,True,vector,0.333333,
crashloopbackoff_oomkilled,troubleshooting,True,vector,,
deployment_rollout_stuck,troubleshooting,True,vector,0.277778,
imagepullbackoff_registry_secret,troubleshooting,True,vector,0.0,
pod_pending_no_resources,troubleshooting,True,vector,0.133333,
service_no_endpoints,troubleshooting,True,vector,0.6,
clusterrole_read_pods,yaml_gen,False,vector,0.0,
clusterrolebinding_yaml,yaml_gen,True,vector,0.0,
configmap_env,yaml_gen,False,vector,0.0,
cronjob_backup,yaml_gen,True,vector,0.25,
cronjob_with_deadline,yaml_gen,True,vector,0.0,
daemonset_fluentd,yaml_gen,True,vector,0.1875,
deployment_3_replicas,yaml_gen,True,vector,0.0,
deployment_liveness_probe,yaml_gen,True,vector,,
deployment_node_selector,yaml_gen,True,vector,0.066667,
hpa_cpu_yaml,yaml_gen,True,vector,0.083333,
ingress_rules,yaml_gen,True,vector,0.0625,
job_with_completions,yaml_gen,True,vector,0.0,
limitrange_yaml,yaml_gen,True,vector,0.0,
networkpolicy_deny_all,yaml_gen,False,vector,0.153846,
networkpolicy_egress_yaml,yaml_gen,True,vector,0.0,
pod_configmap_volume,yaml_gen,True,vector,0.0,
pod_init_container_yaml,yaml_gen,True,vector,0.0,
pod_resource_limits,yaml_gen,True,vector,0.0,
pvc_dynamic,yaml_gen,False,vector,0.0,
rolebinding_dev,yaml_gen,False,vector,0.0,
secret_opaque_yaml,yaml_gen,False,vector,0.0,
service_nodeport,yaml_gen,True,vector,0.0,
serviceaccount_yaml,yaml_gen,True,vector,0.0,
statefulset_with_pvc,yaml_gen,True,vector,,
yaml_layer3_required_fields,yaml_gen,True,vector,0.2,
kubectl_export_namespace_resources,command,True,llm,,
kubectl_find_pods_with_env,command,True,llm,,
kubectl_force_delete_pod,command,True,llm,,
configmap_usage,conceptual,False,llm,,
container_lifecycle_concept,conceptual,True,llm,,
daemonset_purpose,conceptual,False,llm,,
deployment_basic,conceptual,True,llm,,
empty_dir_volume_concept,conceptual,True,llm,,
env_var_concept,conceptual,True,llm,,
hpa_target,conceptual,True,llm,,
ingress_purpose,conceptual,True,llm,,
job_cronjob,conceptual,False,llm,,
limit_range_concept,conceptual,True,llm,,
namespace_quota,conceptual,True,llm,,
node_affinity_concept,conceptual,True,llm,,
persistent_volume_concept,conceptual,True,llm,,
pod_disruption_budget_concept,conceptual,True,llm,,
pod_spec,conceptual,False,llm,,
probe_concept,conceptual,True,llm,,
required_fields_container,conceptual,False,llm,,
resource_requirements_concept,conceptual,True,llm,,
scope_accuracy_node,conceptual,False,llm,,
secret_types,conceptual,False,llm,,
service_types,conceptual,True,llm,,
statefulset_storage,conceptual,False,llm,,
storageclass_concept,conceptual,False,llm,,
toleration_concept,conceptual,False,llm,,
volume_mount_concept,conceptual,False,llm,,
add_env_from_configmap,followup,True,llm,,
add_env_from_secret,followup,True,llm,,
add_hpa_to_deployment,followup,True,llm,,
add_liveness_probe,followup,True,llm,,
add_pvc_to_statefulset,followup,True,llm,,
add_readiness_probe,followup,True,llm,,
add_resource_limits,followup,True,llm,,
add_resource_limits_deployment,followup,True,llm,,
change_service_type,followup,False,llm,,
expose_with_ingress,followup,True,llm,,
scale_existing_deployment,followup,False,llm,,
update_image_version,followup,True,llm,,
plan_autoscale_ha,planning,True,llm,,
plan_cronjob_batch,planning,True,llm,,
plan_namespace_isolation,planning,True,llm,,
plan_redis_persistent,planning,True,llm,,
plan_webapp_with_db,planning,True,llm,,
configmap_volume_mount,realworld,False,llm,,
deployment_vs_statefulset_comparison,realworld,True,llm,,
hpa_custom_metrics_yaml,realworld,True,llm,,
pheres_a_simplified_version_of_a,realworld,True,llm,,
pi_am_wondering_if_it_is,realworld,False,llm,,
pi_have_a_command_to_run,realworld,True,llm,,
pi_want_to_pass_a_certificate,realworld,False,llm,,
precodespec_containers_image_nginx_imagepul,realworld,True,llm,,
serviceaccount_pod_binding,realworld,True,llm,,
anyof_intorstring,relationship,True,llm,,
cronjob_job_pod,relationship,True,llm,,
deep_deployment_container_resources,relationship,True,llm,,
deep_statefulset_container_probe,relationship,True,llm,,
deployment_pod_relation,relationship,True,llm,,
extends_hpa_metric,relationship,True,llm,,
hpa_deployment_pod,relationship,True,llm,,
ingress_service_pod,relationship,True,llm,,
namespace_quota_relation,relationship,True,llm,,
networkpolicy_pod_selector,relationship,True,llm,,
oneof_volume_source,relationship,True,llm,,
pod_namespace_relation,relationship,False,llm,,
pvc_storageclass,relationship,True,llm,,
rbac_binding,relationship,True,llm,,
secret_usage,relationship,True,llm,,
service_selector,relationship,True,llm,,
serviceaccount_token_binding,relationship,True,llm,,
statefulset_pvc_pv,relationship,True,llm,,
crashloopbackoff_oomkilled,troubleshooting,True,llm,,
deployment_rollout_stuck,troubleshooting,True,llm,,
imagepullbackoff_registry_secret,troubleshooting,True,llm,,
pod_pending_no_resources,troubleshooting,True,llm,,
service_no_endpoints,troubleshooting,True,llm,,
clusterrole_read_pods,yaml_gen,False,llm,,
clusterrolebinding_yaml,yaml_gen,True,llm,,
configmap_env,yaml_gen,False,llm,,
cronjob_backup,yaml_gen,True,llm,,
cronjob_with_deadline,yaml_gen,True,llm,,
daemonset_fluentd,yaml_gen,True,llm,,
deployment_3_replicas,yaml_gen,True,llm,,
deployment_liveness_probe,yaml_gen,True,llm,,
deployment_node_selector,yaml_gen,True,llm,,
hpa_cpu_yaml,yaml_gen,True,llm,,
ingress_rules,yaml_gen,True,llm,,
job_with_completions,yaml_gen,True,llm,,
limitrange_yaml,yaml_gen,True,llm,,
networkpolicy_deny_all,yaml_gen,False,llm,,
networkpolicy_egress_yaml,yaml_gen,True,llm,,
pod_configmap_volume,yaml_gen,True,llm,,
pod_init_container_yaml,yaml_gen,True,llm,,
pod_resource_limits,yaml_gen,True,llm,,
pvc_dynamic,yaml_gen,False,llm,,
rolebinding_dev,yaml_gen,False,llm,,
secret_opaque_yaml,yaml_gen,False,llm,,
service_nodeport,yaml_gen,True,llm,,
serviceaccount_yaml,yaml_gen,True,llm,,
statefulset_with_pvc,yaml_gen,True,llm,,
yaml_layer3_required_fields,yaml_gen,True,llm,,
